"","generations","N","M","K","P","b","c","β","u","v","p1","p2","ϵ","DD_mean_final","DC_mean_final","CD_mean_final","CC_mean_final","y","z","g","h","sia_sid","sia_sjd","id"
"1696",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0,0,1,0.245758178750266,0.221365122500067,0.236092041249798,0.296784657500108,0.980969329032062,0.960098090131374,0.942186220575075,0.94184063792339,0.296784657500108,0.296438194084074,"run12"
"1697",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.25,0.25,1,0.250011272499795,0.280922387499772,0.272014851250415,0.197051488749773,0.981399247429091,0.959343138721358,0.942467785126578,0.941869785494337,0.197051488749773,0.197715560060244,"run12"
"1698",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.5,0.5,1,0.278141180000092,0.265635686249813,0.225239078749937,0.230984055000041,0.980695247494468,0.959063705003198,0.941413644037232,0.940918712401065,0.230984055000041,0.231250293413925,"run12"
"1699",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.75,0.75,1,0.214740806249812,0.283799489999973,0.246402348749992,0.255057354999836,0.980414550827518,0.960761115003035,0.942719217883346,0.94220818715819,0.255057354999836,0.254939745791369,"run12"
"1700",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,1,1,1,0.305293172499673,0.236758938749774,0.193882501249856,0.264065387499943,0.72142747431295,-0.0256410256377428,0.243742264372082,-0.0253919704252604,0.264065387499943,0.249937184919847,"run12"
"1701",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0,0,1,0.235172567500014,0.26000129874969,0.229692895000041,0.275133238750101,0.98065622454561,0.834481313478584,0.820618827899022,0.818942742346196,0.275133238750101,0.275233706949985,"run12"
"1702",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0.25,0.25,1,0.277891242499523,0.26044637250026,0.24612548500001,0.215536899999841,0.979937153840111,0.829560344760574,0.815712989886035,0.813791370929025,0.215536899999841,0.215695284998929,"run12"
"1703",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0.5,0.5,1,0.272974088750233,0.217979154999851,0.28449910124974,0.224547654999976,0.980407487109018,0.826792330785358,0.813539631615782,0.811503282432734,0.224547654999976,0.224410871828316,"run12"
"1704",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0.75,0.75,1,0.223242694999969,0.258999693749651,0.259232886249861,0.258524725000296,0.979690047494703,0.823340539631631,0.809676453539937,0.807571194491781,0.258524725000296,0.258342561827998,"run12"
"1705",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,1,1,1,0.216654503749965,0.263720011250255,0.290945467499914,0.228680017499928,0.736072312660964,-0.0256410256377428,0.228739964330287,-0.0253949968051521,0.228680017499928,0.239841014201637,"run12"
"1706",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0,0,1,0.234182927499995,0.230058018749878,0.29335458249984,0.242404471249997,0.981943428134885,0.835718571812426,0.822616242898945,0.821154095274573,0.242404471249997,0.242461220426041,"run12"
"1707",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0.25,0.25,1,0.230058921249853,0.293979332499952,0.275892260000179,0.200069486249807,0.979997707109464,0.832926511170504,0.818769558026625,0.816979930543921,0.200069486249807,0.200590044023511,"run12"
"1708",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0.5,0.5,1,0.258965328749738,0.232551493749921,0.231167907500062,0.277315270000085,0.98019793255874,0.829723739375317,0.816122437706271,0.814169261626774,0.277315270000085,0.276835318169864,"run12"
"1709",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0.75,0.75,1,0.25228969375009,0.316189772499392,0.253119347500052,0.17840118624959,0.980807131212297,0.828692658734324,0.815466869308285,0.813626563040267,0.17840118624959,0.178600142864909,"run12"
"1710",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,1,1,1,0.208579811249769,0.27210441500026,0.273674331249855,0.245641442499963,0.72029547621509,-0.0256410256377428,0.2442192296345,-0.0253944993726403,0.245641442499963,0.282412574584886,"run12"
"1711",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0,0,1,0.275844631249893,0.249186233749913,0.22724275499981,0.247726379999938,0.980613892174183,0.832320894248218,0.8188969168099,0.817074953061634,0.247726379999938,0.247742916096755,"run12"
"1712",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0.25,0.25,1,0.210644698749822,0.27188649124985,0.249409642500291,0.268059167499905,0.980059384352975,0.831212276555355,0.816998687065056,0.815353756225375,0.268059167499905,0.268685071218285,"run12"
"1713",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0.5,0.5,1,0.24230271500011,0.245669679999974,0.279234883749697,0.232792721250276,0.981020631532799,0.832344810786001,0.817983945013358,0.81676456868487,0.232792721250276,0.232608819998944,"run12"
"1714",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0.75,0.75,1,0.267833799999835,0.27463174374993,0.233836657500188,0.223697798750063,0.980091679033592,0.829773422709702,0.817097335975869,0.814693320598532,0.223697798750063,0.223792779145291,"run12"
"1715",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,1,1,1,0.215995758749829,0.280794936249967,0.253737590000097,0.2494717150001,0.7313438406315,-0.0256410256377428,0.233334560485962,-0.0253980469806081,0.2494717150001,0.267358144867813,"run12"
"1716",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0,0,1,0.268942576250197,0.232381196249875,0.252833536250052,0.245842691249939,0.981808743584127,0.835782726555952,0.823400284757907,0.821585428655286,0.245842691249939,0.245317119694295,"run12"
"1717",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0.25,0.25,1,0.253531430000227,0.261846908749949,0.252516502499704,0.232105158750089,0.980284175187198,0.833468949761138,0.82000206623274,0.818043194958179,0.232105158750089,0.232004097682087,"run12"
"1718",2e+07,40,1,1,2,1,0.2,0,0.001,0.005,0.5,0.5,1,0.219569182500116,0.281191167500207,0.239535351249959,0.259704298749943,0.981300208326771,0.829141055273527,0.815918075911188,0.81434664761895,0.259704298749943,0.26026043115737,"run12"
